"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzEwMzk1MjAxMjE0NTQ2MzY=","628446513","https://scontent-mia5-1.xx.fbcdn.net/v/t39.30808-1/469190379_10162812476701514_3659888713566756302_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=101&ccb=1-7&_nc_sid=e99d92&_nc_ohc=XREd7ufqHKAQ7kNvwHMeg7F&_nc_oc=AdlPxD5IAKBOo4Fh6_8Mrs8h178IV0wPIWxLawEMXRXj-KUbypgboGeBTxA0_DqI6js&_nc_zt=24&_nc_ht=scontent-mia5-1.xx&_nc_gid=NuYIBXCtjLHshXmcW2mLDA&oh=00_AfO0AO8zq63IM-oAt_SvlIfBOyxHQpJ53Q0sZ5HP609MDw&oe=684CD5C5","Kimberly Kelley Aylward","This made me cry...I felt this deeply.","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=1039520121454636","0","0","1","2025-06-01 18:11:06"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzEyNDU2NTcxMjA2MDM4Nzg=","100090697780751","https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-1/341758381_1248819142696215_1153418908077136397_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=8vctjFuMmjMQ7kNvwEOTtPg&_nc_oc=AdkOVYwOswCY3aSr_zJphkErYreaznO8XZe-BWF7iAKkSmgjWVkoRwdpiMmXygz2f9E&_nc_zt=24&_nc_ht=scontent-mia3-2.xx&_nc_gid=jsQhid78Fm6jhyC9rW5jAQ&oh=00_AfMPShqRSSPySrUQOinCqTMLWhVho57iHmAoSAan7S2yrA&oe=684CC75B","Linda Vail","-Kimberly Kelley Aylward me too","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=1039520121454636&reply_comment_id=1245657120603878","0","1","0","2025-06-01 21:03:03"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzcwNDg2MzM4NTI4MTQ2Mg==","100000074641609","https://scontent-mia3-1.xx.fbcdn.net/v/t1.6435-1/65271741_2559676984044765_867806255350022144_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=NdW6AnwBoowQ7kNvwF5QMT3&_nc_oc=Adkovoo94ACA4z4XJu-swWbrXWOSClJDmGJdHVed8C7VXjw__Unyrdm5pYfM03BKaKs&_nc_zt=24&_nc_ht=scontent-mia3-1.xx&_nc_gid=NuYIBXCtjLHshXmcW2mLDA&oh=00_AfPsSuzY-h6GlZ5yprK7iTW2vpL42vOiRhHqqpC-_7k9UQ&oe=686E5437","Lisa Hicks Hughes","Blocked.... DISCERNMENT","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=704863385281462","0","0","0","2025-06-01 18:15:28"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzQwNDIwNDMwMDI3MzUzNzE=","100012972827918","https://scontent-mia3-3.xx.fbcdn.net/v/t39.30808-1/469369117_2044863855956022_3419582372466101958_n.jpg?stp=c142.0.565.565a_cp0_dst-jpg_s64x64_tt6&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=7-DaDbo0fIsQ7kNvwGjfUlD&_nc_oc=AdmWa2vht--nLLpYSFhT-86t8x1HY3H2RpY_ervVCzW6L74SY-r1RIGA0kGXIcPqWIE&_nc_zt=24&_nc_ht=scontent-mia3-3.xx&_nc_gid=4EG6zoHN9mIB176aZk4TpQ&oh=00_AfNtTbxRxGacMosF3bUm3YJL7WtuMipBEmGe1ToOyNE4nA&oe=684CD0CD","Genesa Framboise","🙏💖💝","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=4042043002735371","0","0","0","2025-06-01 18:47:45"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzIxODA0MjY2NDkxMzkzNTE=","100005396860623","https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-1/315471143_2095937990596076_8486211222800573677_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=111&ccb=1-7&_nc_sid=e99d92&_nc_ohc=9R72A919IEoQ7kNvwHG7C1M&_nc_oc=Adn4UAKQ0QGaAkiYQ2MLzelaL-INuybANOl2Qmdni6m3ObMuwpYMrAbltdR8PWE3xHo&_nc_zt=24&_nc_ht=scontent-mia3-1.xx&_nc_gid=4EG6zoHN9mIB176aZk4TpQ&oh=00_AfPCkMqa-b_90OIcwLxeUoTDaOXrreU-Vk0aTLXX2hgb8w&oe=684CE20A","Bill Wei Cheung","Knowing the ""Past Hurt Seeker"" supernatural law, is a game changer, with the potential to alter the balance of power in this spiritual warfare.","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=2180426649139351","0","0","2","2025-06-01 19:17:33"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzE5NjA0MzM2NzQ0OTEwNzI=","61555029816549","https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-1/419918320_122116077050167660_7192108551289484273_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=103&ccb=1-7&_nc_sid=e99d92&_nc_ohc=RHvZWfyEjT4Q7kNvwEFx-IB&_nc_oc=AdmDLakt9H8Xgclox6BZ4jPhRpxfV9qxPIPcH0evGnz8IvSHLeeJsurg0IyIr-_hEYY&_nc_zt=24&_nc_ht=scontent-mia3-2.xx&_nc_gid=hkpOxwyHn_vxy5HjS9PmWg&oh=00_AfOhmXFyN5uK9cXSd22-IAu9vjd1O9NZyHcCwQQnUktXtQ&oe=684CD6CA","Caroline Tucker","-Bill Wei Cheung I like it.","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=2180426649139351&reply_comment_id=1960433674491072","0","1","1","2025-06-03 08:37:06"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzYyMzY1NDc5NDAyMTQzOQ==","61555029816549","https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-1/419918320_122116077050167660_7192108551289484273_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=103&ccb=1-7&_nc_sid=e99d92&_nc_ohc=RHvZWfyEjT4Q7kNvwEFx-IB&_nc_oc=AdmDLakt9H8Xgclox6BZ4jPhRpxfV9qxPIPcH0evGnz8IvSHLeeJsurg0IyIr-_hEYY&_nc_zt=24&_nc_ht=scontent-mia3-2.xx&_nc_gid=xMZOe67NPgHPe2ugQQnTLQ&oh=00_AfNYitobc9eCRBo4rHLqML4dIcJ_4FybwRresZQQeMpEPw&oe=684CD6CA","Caroline Tucker","--Thanks.   Need it for my bosses.  Hahaha","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=2180426649139351&reply_comment_id=623654794021439","0","2","0","2025-06-03 16:12:14"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzEzNzQ1MzQ2NzM4MDg2MjM=","100011795708464","https://scontent-mia3-3.xx.fbcdn.net/v/t39.30808-1/414995994_1919396121796893_4700610566389724829_n.jpg?stp=c0.256.1536.1536a_cp0_dst-jpg_s64x64_tt6&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=yQUF0ofGZMkQ7kNvwEtD-r6&_nc_oc=AdmHdodkfDGF78IEc16VlC1l-B-E0urxfTuBs2vqi8fhPMQUA_nSwQHC84H2e6bPIVk&_nc_zt=24&_nc_ht=scontent-mia3-3.xx&_nc_gid=4EG6zoHN9mIB176aZk4TpQ&oh=00_AfNNFxHd1WTkLbyPv8IGY4AhUTSX1klSIjWisOUIcyW1fQ&oe=684CE6EB","Sarah St Cyr","Medical Medium Info! ""SEEK OUT THAT DEMON!"" ""SEEK OUT ALL OF THEM DEMONS!"" 🫡〰️🙏🛐🛡️😈⛓️‍💥","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=1374534673808623","0","0","0","2025-06-01 19:27:15"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzYxMTY2NzQxNDU3ODkyMA==","1628643278","https://scontent-mia5-1.xx.fbcdn.net/v/t39.30808-1/462106420_10229655514965354_2277721264948199615_n.jpg?stp=c25.0.150.150a_cp0_dst-jpg_s64x64_tt6&_nc_cat=101&ccb=1-7&_nc_sid=e99d92&_nc_ohc=e-Ishbv8g_YQ7kNvwHY3Ole&_nc_oc=AdkoldTaDFKDHma9N7_uKcgR84pasGVYtrMvruZtm8bOJIaiYWCxz6GjHb3GnalDxUs&_nc_zt=24&_nc_ht=scontent-mia5-1.xx&_nc_gid=NuYIBXCtjLHshXmcW2mLDA&oh=00_AfNvqZyvtfH-TGmOzBJPVECl9fCkrHlPZyNIjuJYYRns4Q&oe=684CCBDF","Julia Serrago","🙏❤️🕊️","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=611667414578920","0","0","0","2025-06-01 20:22:12"
"Y29tbWVudDoxMjQ1OTU1MDk2ODg3OTMyXzEwNjIyMjc1NDkxMzkzMDM=","100064848634080","https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-1/335443167_1227913014511925_8418076564863875982_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=hbwik0bujbsQ7kNvwH3g7mb&_nc_oc=Adl3UT1lUVHB6Fd6bnGbynBWEfxenwWx3q2N_51Fz8CT2FGmAVvQ7zs70R8FCqiT_dk&_nc_zt=24&_nc_ht=scontent-mia3-1.xx&_nc_gid=4EG6zoHN9mIB176aZk4TpQ&oh=00_AfOOosXgxvesxE1j4WRjdJNhai6ZUy_o7orGBe0IrrbOfw&oe=684CE296","Plants Heal צמחים מרפאים","This is helpful to information 🙏","https://www.facebook.com/medicalmedium/posts/pfbid02BcD9ugbus23TehvSHYiTF8kAPT9MXDvYtQBTRoT9msXX87KSiY828zZ24C8LcUg9l?comment_id=1062227549139303","0","0","0","2025-06-02 00:22:25"
